deptID,deptName
8347,User387
7756,User609
2005,User1422
9469,User1077
9678,User4634
1381,User1574
3536,User2868
2316,User1073
6497,User4013
2697,User3681
6565,User3769
3475,User2172
2676,User2629
1781,User533
5808,User4894
7231,User1673
5149,User2578
4671,User2968
5895,User2067
4296,User673
9197,User3506
9255,User4125
9946,User2018
7637,User1145
5788,User3934
7717,User702
7540,User1596
1655,User2831
9466,User4577
7897,User4275
2584,User2839
8622,User3007
1766,User3169
3202,User623
5897,User3982
5406,User3233
6708,User2569
9618,User3945
1406,User192
3908,User4475
9381,User3621
1979,User3628
2021,User2585
7807,User2103
9042,User4198
5252,User2504
7494,User3349
2072,User1773
2442,User4627
8980,User2940
4586,User944
5789,User1771
7433,User285
9478,User4523
6170,User1633
7211,User1111
9999,User2059
4958,User4410
3052,User4614
5265,User2138
9189,User3399
6563,User2877
3861,User344
3815,User3827
5744,User1853
4842,User2201
8907,User3890
6164,User1140
8650,User1817
4205,User2819
4791,User2731
7799,User1335
5395,User2678
9830,User185
5276,User4931
7802,User4991
9419,User3646
1587,User1723
9065,User3682
7685,User3364
8288,User4192
6325,User1929
1673,User4197
1877,User3528
2028,User2233
7613,User2576
4150,User4898
2397,User2954
9815,User2173
7351,User2086
6585,User3366
7955,User3393
7977,User2528
8546,User1188
8856,User2579
7296,User560
2589,User2157
9389,User685
5200,User3106
1145,User1203
4773,User4112
8890,User4235
9012,User4362
3084,User978
6215,User428
1541,User1404
2342,User1126
9931,User4781
4908,User4183
1767,User2633
8744,User1568
2722,User1818
4944,User648
2372,User1344
1414,User1700
6567,User1135
6828,User3225
7704,User3129
7881,User1608
9459,User312
6988,User4691
8300,User2224
8202,User1382
4571,User3569
1593,User1633
1465,User99
2758,User1746
9031,User3872
1769,User4298
1495,User303
9573,User482
7060,User3183
9423,User3244
4148,User505
2194,User1228
7599,User632
5242,User2128
6906,User1819
3563,User72
3861,User3193
9546,User3526
3383,User3686
1763,User4663
5228,User4535
8182,User1971
6902,User1653
6777,User4495
8337,User1307
1596,User2913
9704,User3262
1187,User3016
5473,User2454
9187,User1880
9533,User3469
7257,User4386
8635,User2988
7140,User712
7709,User3893
3612,User2278
5923,User3902
2815,User2249
8356,User4014
5337,User1899
4515,User690
2961,User4605
5516,User3508
7604,User2791
3114,User1930
3452,User3390
6679,User1593
2475,User1323
7775,User422
2792,User3895
7105,User1073
7903,User2741
2834,User1425
2945,User52
7798,User1375
1690,User3970
4240,User4248
2930,User2853
2655,User750
4082,User1102
2166,User1740
3089,User308
6635,User4424
3167,User4875
8051,User336
8184,User403
9199,User2886
2283,User1383
9227,User2659
9856,User738
3429,User551
6731,User1710
7430,User96
9745,User3925
8794,User2783
4284,User2853
2797,User2700
3171,User98
6274,User2151
6567,User2754
9597,User854
1597,User1339
4448,User4064
8392,User3125
4993,User4655
9949,User1389
2303,User1731
3659,User3804
8057,User31
5825,User4768
